,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,3
5,4
6,8
7,9
8,12
9,12
10,14
11,19
12,23
13,29
14,31
15,35
16,42
17,48
18,56
19,66
20,78
21,100
22,123
23,155
24,200
25,241
26,287
27,338
28,422
29,508
30,615
31,746
32,902
