,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,3
11,3
12,3
13,3
14,5
15,8
16,9
17,11
18,13
19,19
20,21
21,37
22,49
23,56
24,78
25,95
26,125
27,166
28,216
29,288
30,379
31,486
32,634
