,cumulative_cases_simulated
0,1
1,2
2,2
3,3
4,5
5,5
6,6
7,7
8,8
9,12
10,16
11,19
12,22
13,28
14,37
15,45
16,55
17,62
18,76
19,95
20,110
21,133
22,156
23,192
24,225
25,277
26,349
27,430
28,538
29,658
30,819
31,1017
32,1284
