,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,4
8,5
9,6
10,8
11,11
12,16
13,23
14,31
15,40
16,46
17,51
18,65
19,76
20,93
21,113
22,136
23,165
24,195
25,245
26,303
27,369
28,470
29,554
30,706
31,879
32,1089
