,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,5
8,11
9,15
10,20
11,23
12,31
13,39
14,46
15,53
16,66
17,79
18,96
19,120
20,146
21,173
22,203
23,246
24,301
25,365
26,425
27,509
28,620
29,734
30,874
31,1058
32,1288
