,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,3
8,4
9,7
10,10
11,13
12,16
13,20
14,25
15,33
16,36
17,42
18,48
19,58
20,76
21,86
22,100
23,123
24,139
25,168
26,203
27,245
28,286
29,354
30,428
31,520
32,620
