,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,3
9,3
10,5
11,7
12,8
13,9
14,14
15,19
16,22
17,30
18,43
19,59
20,79
21,98
22,123
23,154
24,191
25,241
26,315
27,408
28,521
29,672
30,832
31,1041
32,1308
