,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,2
6,4
7,4
8,5
9,7
10,7
11,8
12,8
13,12
14,14
15,18
16,19
17,22
18,27
19,34
20,37
21,45
22,56
23,67
24,84
25,93
26,112
27,133
28,157
29,179
30,205
31,235
32,284
