,cumulative_cases_simulated
0,1
1,1
2,3
3,3
4,4
5,5
6,5
7,6
8,8
9,9
10,12
11,15
12,19
13,23
14,33
15,42
16,50
17,60
18,72
19,85
20,104
21,120
22,151
23,187
24,227
25,269
26,319
27,369
28,430
29,509
30,614
31,726
32,879
