,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,4
9,5
10,6
11,6
12,9
13,11
14,12
15,16
16,17
17,20
18,21
19,27
20,29
21,38
22,49
23,64
24,78
25,97
26,112
27,130
28,151
29,180
30,223
31,264
32,316
