,cumulative_cases_simulated
0,1
1,1
2,1
3,3
4,3
5,5
6,5
7,7
8,9
9,10
10,13
11,16
12,20
13,24
14,31
15,34
16,44
17,52
18,59
19,71
20,87
21,100
22,111
23,139
24,161
25,198
26,227
27,268
28,307
29,368
30,421
31,511
32,601
