,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,4
10,5
11,6
12,6
13,8
14,8
15,11
16,13
17,17
18,19
19,26
20,29
21,36
22,48
23,57
24,68
25,82
26,102
27,125
28,153
29,182
30,239
31,309
32,378
