,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,3
5,5
6,8
7,10
8,11
9,11
10,12
11,15
12,20
13,22
14,29
15,33
16,44
17,53
18,66
19,82
20,102
21,125
22,153
23,179
24,225
25,273
26,326
27,401
28,495
29,601
30,734
31,899
32,1120
