,cumulative_cases_simulated
0,1
1,1
2,2
3,3
4,3
5,3
6,3
7,5
8,7
9,12
10,14
11,19
12,20
13,23
14,26
15,32
16,43
17,50
18,68
19,85
20,104
21,122
22,150
23,183
24,228
25,276
26,337
27,417
28,510
29,607
30,720
31,863
32,1031
