,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,2
5,4
6,4
7,7
8,8
9,11
10,13
11,16
12,21
13,24
14,33
15,40
16,53
17,71
18,86
19,105
20,142
21,173
22,208
23,248
24,308
25,380
26,462
27,556
28,669
29,823
30,1016
31,1234
32,1515
