,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,4
9,6
10,11
11,15
12,20
13,23
14,27
15,29
16,36
17,47
18,64
19,79
20,102
21,137
22,166
23,207
24,258
25,314
26,407
27,496
28,618
29,770
30,980
31,1238
32,1547
