,cumulative_cases_simulated
0,1
1,1
2,2
3,3
4,3
5,3
6,4
7,5
8,6
9,9
10,11
11,15
12,15
13,17
14,19
15,23
16,32
17,37
18,42
19,49
20,58
21,64
22,76
23,89
24,112
25,136
26,173
27,201
28,244
29,282
30,354
31,420
32,498
