,cumulative_cases_simulated
0,1
1,2
2,3
3,3
4,3
5,3
6,4
7,4
8,6
9,7
10,7
11,7
12,7
13,8
14,10
15,12
16,15
17,20
18,25
19,35
20,43
21,60
22,76
23,99
24,122
25,157
26,192
27,248
28,328
29,408
30,526
31,682
32,857
