,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,3
12,4
13,7
14,10
15,11
16,13
17,13
18,16
19,20
20,27
21,33
22,41
23,54
24,74
25,95
26,119
27,153
28,197
29,246
30,310
31,404
32,525
