,R0,k,recovery
0,2.4190494286072135,0.29572144385094024,0.0642746986165363
1,1.2207545154825734,0.35477502575763253,0.0960782347080397
2,1.7316349766083774,0.25944799198826607,0.06536358890420516
3,2.87539769973119,0.4512046478249596,0.09401201780021962
4,3.1366930944811937,0.4150340301225506,0.008776999460611922
5,2.3900916878639453,0.24725645055530907,0.07314799575322614
6,2.4328394893944547,0.10833276501020542,0.05875659198599723
7,2.6787542848091266,0.44962126280168724,0.03193434631322358
8,3.0809116120931668,0.5511342642538651,0.026546662444443415
9,2.71196360800237,0.25708185052346444,0.05369706709278587
